,pid,sid,hid,ncore,nunit,experiment,P_PMGR_SCHEDULING,P_PMGR_QUEUING,P_LRMS_SUBMITTING,P_LRMS_QUEUING,P_LRMS_RUNNING,util_p_total,util_p_boot,util_p_setup_1,util_p_orte,util_p_setup_2,util_p_uexec,util_p_term,NEW,PMGR_LAUNCHING_PENDING,PMGR_LAUNCHING,PMGR_ACTIVE_PENDING,PMGR_ACTIVE,DONE,CANCELED,FAILED
0,pilot.0000,rp.session.login2.frontera.tacc.utexas.edu.mturilli.018320.0002,frontera.tacc.utexas.edu,3584,8192,sscaling1,0.13908028602600098,0.0018367767333984375,20.53313660621643,2477.9362297058105,507.59041476249695,572.3812999725342,43.28949999809265,,,,10.786337852478027,509.34420466423035,26.501472234725952,26.640552520751953,26.64238929748535,47.17552590370178,2525.1117556095123,3093.827287912369,3032.7021703720093,
0,pilot.0000,rp.session.login2.frontera.tacc.utexas.edu.mturilli.018320.0001,frontera.tacc.utexas.edu,1792,8192,sscaling1,0.13918709754943848,0.008898735046386719,18.192484617233276,50.78647017478943,929.4190859794617,979.0845999717712,26.07760000228882,,,,4.450585126876831,933.5563418865204,26.681641101837158,26.820828199386597,26.829726934432983,45.02221155166626,95.80868172645569,1099.3549540042877,1025.2277677059174,
0,pilot.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018326.0004,frontera.tacc.utexas.edu,448,8192,sscaling1,0.13112163543701172,0.003684520721435547,36.31826043128967,138.60021090507507,3720.726165533066,3857.061700105667,111.75769996643066,,,,4.249945163726807,3722.8181552886963,46.193812131881714,46.324933767318726,46.32861828804016,82.64687871932983,221.2470896244049,4055.076881170273,3941.9732551574707,
0,pilot.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018326.0002,frontera.tacc.utexas.edu,448,8192,sscaling1,0.13872075080871582,0.007744550704956055,11.963172912597656,46.52874541282654,3560.6166999340057,3598.9686999320984,22.709800004959106,,,,4.435400724411011,3557.457602262497,25.209099054336548,25.347819805145264,25.35556435585022,37.318737268447876,83.84748268127441,,3644.46418261528,
0,pilot.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0002,frontera.tacc.utexas.edu,896,8192,sscaling1,0.13883018493652344,0.0016372203826904297,31.358670234680176,55.69333219528198,1827.5899522304535,1882.1503999233246,25.753699779510498,,,,4.552197694778442,1832.5722551345825,26.984852075576782,27.123682260513306,27.125319480895996,58.48398971557617,114.17732191085815,2025.0209720134735,1941.7672741413116,
0,pilot.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0003,frontera.tacc.utexas.edu,1792,8192,sscaling1,0.13084673881530762,0.003026723861694336,33.2148642539978,61.72408056259155,922.445586681366,978.5046999454498,23.128899812698364,,,,6.724305152893066,936.569150686264,30.083320140838623,30.21416687965393,30.217193603515625,63.43205785751343,125.15613842010498,1124.1919388771057,1047.601725101471,
0,pilot.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018325.0001,frontera.tacc.utexas.edu,7168,8192,sscaling1,0.13873744010925293,0.002871274948120117,21.61472725868225,34578.39033102989,288.83697271347046,334.8886001110077,33.38830018043518,,,,3.8910224437713623,288.9686918258667,25.69278621673584,25.831523656845093,25.834394931793213,47.449122190475464,34625.83945322037,34977.48933315277,34914.67642593384,
0,pilot.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018326.0000,frontera.tacc.utexas.edu,7168,8192,sscaling1,0.13867521286010742,0.00400853157043457,31.268187761306763,8063.039584636688,293.73982977867126,347.3417000770569,30.82930016517639,,,,10.33926796913147,296.9659457206726,29.332196950912476,29.470872163772583,29.474880695343018,60.74306845664978,8123.782653093338,,8417.52248287201,
0,pilot.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0001,frontera.tacc.utexas.edu,896,8192,sscaling1,0.13134527206420898,0.007611513137817383,32.80895519256592,52.486658573150635,1880.1116547584534,1924.0700001716614,28.593300104141235,,,,12.057315587997437,1877.6086049079895,27.828608512878418,27.959953784942627,27.967565298080444,60.77652049064636,113.263179063797,2068.6609966754913,1993.3748338222504,
0,pilot.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0008,frontera.tacc.utexas.edu,1792,8192,sscaling1,0.13119101524353027,0.005301237106323242,13.062901735305786,44.74987530708313,888.5755321979523,926.3976998329163,21.591300010681152,,,,4.443376541137695,886.0879783630371,29.482028007507324,29.613219022750854,29.618520259857178,42.681421995162964,87.4312973022461,1036.7311146259308,976.0068295001984,
0,pilot.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0007,frontera.tacc.utexas.edu,1792,8192,sscaling1,0.13843727111816406,0.009597539901733398,29.47449803352356,48.47120547294617,930.6204297542572,974.0090000629425,21.20039987564087,,,,4.354309320449829,934.2298269271851,31.4694242477417,31.607861518859863,31.617459058761597,61.091957092285156,109.56316256523132,1116.0161702632904,1040.1835923194885,
0,pilot.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0000,frontera.tacc.utexas.edu,896,8192,sscaling1,0.13104939460754395,0.0014545917510986328,32.15319585800171,47.52429533004761,1846.3742926120758,1884.951600074768,22.729600191116333,,,,4.491998910903931,1843.4693048000336,29.035499095916748,29.166548490524292,29.16800308227539,61.3211989402771,108.8454942703247,2030.7494757175446,1955.2197868824005,
0,pilot.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0010,frontera.tacc.utexas.edu,448,8192,sscaling1,0.13104486465454102,0.00684809684753418,11.679377794265747,45.50201725959778,3630.6803255081177,3670.6115000247955,22.23449993133545,,,,4.339201211929321,3629.787945508957,27.845996379852295,27.977041244506836,27.98388934135437,39.66326713562012,85.1652843952179,3817.9493312835693,3715.8456099033356,
0,pilot.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0011,frontera.tacc.utexas.edu,3584,8192,sscaling1,0.1313178539276123,0.003159761428833008,32.565340757369995,1245.3346428871155,472.4668071269989,509.6435000896454,22.06540012359619,,,,6.395108699798584,469.90662360191345,28.86456847190857,28.99588632583618,28.999046087265015,61.56438684463501,1306.8990297317505,1844.361155986786,1779.3658368587494,
0,pilot.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0016,frontera.tacc.utexas.edu,7168,8192,sscaling1,0.13870978355407715,0.0031113624572753906,10.94758415222168,2931.883556365967,284.11436557769775,322.57890009880066,21.094900131225586,,,,10.791866540908813,283.6114377975464,27.539153575897217,27.677863359451294,27.68097472190857,38.62855887413025,2970.512115240097,3319.373742580414,3254.626480817795,
0,pilot.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0009,frontera.tacc.utexas.edu,448,8192,sscaling1,0.13868188858032227,0.008901119232177734,10.63067626953125,47.30829095840454,3417.990758419037,3462.7603998184204,24.56309986114502,,,,4.3634352684021,3420.4861471652985,26.750000476837158,26.88868236541748,26.897583484649658,37.52825975418091,84.83655071258545,3605.3757586479187,3502.8273091316223,
0,pilot.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0013,frontera.tacc.utexas.edu,3584,8192,sscaling1,0.13126873970031738,0.007848024368286133,16.352312326431274,461.2399764060974,478.85839009284973,515.6396999359131,22.050999879837036,,,,4.583020925521851,474.8316481113434,25.53137445449829,25.66264319419861,25.670491218566895,42.02280354499817,503.2627799510956,1045.8522219657898,982.1211700439453,
0,pilot.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0014,frontera.tacc.utexas.edu,7168,8192,sscaling1,0.13066840171813965,0.009125709533691406,11.51321005821228,2173.51140666008,276.32444429397583,318.42949986457825,22.945600032806396,,,,6.475682497024536,276.6703450679779,27.415019273757935,27.545687675476074,27.554813385009766,39.068023443222046,2212.579430103302,2557.3370492458344,2488.903874397278,
0,pilot.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0015,frontera.tacc.utexas.edu,7168,8192,sscaling1,0.13107585906982422,0.002872943878173828,11.378501415252686,1141.5635085105896,272.37334394454956,327.2857999801636,31.803800106048584,,,,8.526845216751099,276.621821641922,28.706037282943726,28.83711314201355,28.839986085891724,40.21848750114441,1181.781996011734,1517.467422246933,1454.1553399562836,
0,pilot.0000,rp.session.login3.frontera.tacc.utexas.edu.mturilli.018327.0012,frontera.tacc.utexas.edu,3584,8192,sscaling1,0.13127422332763672,0.005791425704956055,14.90947699546814,530.5417652130127,461.8262438774109,523.3732998371124,47.8092999458313,,,,4.4520814418792725,457.78043937683105,25.652066469192505,25.78334069252014,25.789132118225098,40.69860911369324,571.2403743267059,1092.1055490970612,1033.0666182041168,
