,CANCELED,DONE,FAILED,NEW,PMGR_ACTIVE,PMGR_ACTIVE_PENDING,PMGR_LAUNCHING,PMGR_LAUNCHING_PENDING,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,experiment,hid,ncore,nunit,pid,sid,util_p_boot,util_p_orte,util_p_setup_1,util_p_setup_2,util_p_term,util_p_total,util_p_uexec
0,,,1509181683.27,1509178228.94,1509180743.34,1509178298.27,1509178228.94,1509178228.94,2445.06889987,939.927299976,69.3272001743,0.00300002098083,0.00249981880188,optimized,ccs.ornl.gov,4144,128,pilot.0000,ws_syn_titan_128_32_4096_60_3.0,38.5945999622,3.99699997902,1.09990000725,0.73340010643,6.08369994164,992.282700062,941.774100065
0,,,1509226164.52,1509224638.36,1509225227.75,1509224708.05,1509224638.36,1509224638.36,519.695700169,936.775599957,69.6867001057,0.00439977645874,0.00240015983582,optimized,ccs.ornl.gov,4144,128,pilot.0000,ws_syn_titan_128_32_4096_60_3.1,29.5011000633,3.89599990845,0.248800039291,0.553600072861,7.16599988937,982.715300083,941.34980011
0,,,1509211055.69,1509194187.68,1509210070.89,1509194257.05,1509194187.69,1509194187.69,15813.8363001,984.798799992,69.3615999222,0.00300002098083,0.0032000541687,optimized,ccs.ornl.gov,8240,256,pilot.0000,ws_syn_titan_256_32_8192_60_4.1,54.7143998146,8.24900007248,1.13940000534,0.601199865341,7.67740011215,1058.82029986,986.438899994
0,,,1509230439.18,1509211095.42,1509228966.54,1509211163.91,1509211095.42,1509211095.42,17802.6274002,1472.64569998,68.4859998226,0.00340008735657,0.00309991836548,optimized,ccs.ornl.gov,65584,2048,pilot.0000,ws_syn_titan_2048_32_65536_60_7.1,36.734400034,112.09800005,5.31060004234,1.57620000839,6.20889997482,1634.91560006,1472.98749995
0,,,1509228721.35,1509176372.12,1509227298.03,1509176566.81,1509176372.13,1509176372.12,50731.2137001,1423.32400012,194.685600042,0.0025999546051,0.00279998779297,optimized,ccs.ornl.gov,65584,2048,pilot.0000,ws_syn_titan_2048_32_65536_60_7.0,35.4310998917,111.773999929,5.32070016861,1.56410002708,5.91470003128,1588.01690006,1428.01230001
0,,,1509179369.17,1509176371.78,1509178412.15,1509176568.68,1509176371.78,1509176371.78,1843.47510004,957.020099878,196.896399975,0.00279998779297,0.00329995155334,optimized,ccs.ornl.gov,2096,64,pilot.0000,ws_syn_titan_64_32_2048_60_2.0,38.0587000847,3.27999997139,0.236799955368,0.636100053787,5.9467997551,1009.52149987,961.363100052
0,,,1509224602.52,1509223522.94,1509223642.4,1509223578.27,1509223522.94,1509223522.94,64.1345999241,960.119400024,55.3267002106,0.00319981575012,0.00279998779297,optimized,ccs.ornl.gov,2096,64,pilot.0000,ws_syn_titan_64_32_2048_60_2.1,32.6127998829,3.57800006866,0.574800014496,0.569000005722,5.11870002747,1003.77929997,961.325999975
0,,,1509194152.16,1509193121.81,1509193232.08,1509193176.96,1509193121.82,1509193121.82,55.1204998493,920.077500105,55.1424000263,0.00349998474121,0.00330018997192,optimized,ccs.ornl.gov,1072,32,pilot.0000,ws_syn_titan_32_32_1024_60_1.1,29.7941999435,2.99699997902,0.203700065613,0.611399888992,4.40620017052,959.282999992,921.270499945
0,,,1509178192.01,1509176373.83,1509177265.05,1509176567.85,1509176373.83,1509176373.83,697.202900171,926.95359993,194.01639986,0.00310015678406,0.00319981575012,optimized,ccs.ornl.gov,1072,32,pilot.0000,ws_syn_titan_32_32_1024_60_1.0,36.1672999859,3.52999997139,1.07719993591,0.58510017395,7.64580011368,980.312700033,931.307299852
0,,,1510024665.75,1510022998.34,1510023612.99,1510023068.43,1510022998.34,1510022998.34,544.558900118,1052.76020002,70.0909998417,0.00290012359619,0.00289988517761,optimized,ccs.ornl.gov,16432,512,pilot.0000,ws_syn_titan_512_32_16384_60_5.1,33.1677999496,16.2269999981,2.9998998642,0.840700149536,3.02930021286,1112.90540004,1056.64069986
0,,,1510022954.74,1509746218.1,1510021933.55,1509746461.8,1509746218.11,1509746218.11,275471.7566,1021.18470001,243.686500072,0.00239992141724,0.00300002098083,optimized,ccs.ornl.gov,16432,512,pilot.0000,ws_syn_titan_512_32_16384_60_5.0,42.1159000397,16.4750001431,1.63009977341,0.825899839401,6.17230010033,1088.83649993,1021.61730003
0,,,1509193084.09,1509176370.16,1509192076.29,1509176566.66,1509176370.17,1509176370.17,15509.6249998,1007.80540013,196.495800018,0.0032000541687,0.00410008430481,optimized,ccs.ornl.gov,8240,256,pilot.0000,ws_syn_titan_256_32_8192_60_4.0,32.5028998852,7.82800006866,0.274499893188,0.611399888992,5.73830008507,1058.42989993,1011.47480011
0,,,1510485408.13,1509746224.22,1510483241.25,1509746465.65,1509746224.23,1509746224.22,736775.6004,2166.88670015,241.420599937,0.00310015678406,0.0042998790741,optimized,ccs.ornl.gov,131120,4096,pilot.0000,ws_syn_titan_4096_32_131072_60_8.0,50.6388001442,225.013999939,23.4603998661,2.6781001091,8.71600008011,2479.60610008,2169.09879994
0,,,1510026565.38,1509746216.85,1510025398.97,1509746459.31,1509746216.95,1509746216.85,278939.6588,1166.40930009,242.363500118,0.0962998867035,0.0032000541687,optimized,ccs.ornl.gov,32816,1024,pilot.0000,ws_syn_titan_1024_32_32768_60_6.0,35.0060999393,32.2670001984,1.34009981155,1.04399991035,7.75450015068,1244.43249989,1167.02079988
0,,,1509312131.32,1509228766.15,1509310949.14,1509228836.36,1509228766.16,1509228766.16,82112.7809,1182.18289995,70.1993999481,0.00309991836548,0.00250005722046,optimized,ccs.ornl.gov,32816,1024,pilot.0000,ws_syn_titan_1024_32_32768_60_6.1,33.5773000717,55.6449999809,1.38520002365,0.983399868011,6.16919994354,1284.6710999,1186.91100001
