,NEW,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,ncore,ncore_active,nhost,npilot,npilot_active,nunit,nunit_done,nunit_failed,sid,util_p_boot,util_p_orte,util_p_setup_1,util_p_setup_2,util_p_term,util_p_total,util_p_uexec,util_u_eprep,util_u_equeue,util_u_exec_app,util_u_exec_cu,util_u_exec_orte,util_u_exec_rp,util_u_total,util_u_unschedule
ws_syn_titan_128_32_4096_60_3.0,18.1729001999,2445.0789001,939.917299747,69.3272001743,0.00300002098083,0.00249981880188,1509179165.32,925.282699823,1.89049983025,2.81350040436,1.69840168953,0.0188000202179,0.156899929047,exp1,4144,4144,1,1,1,128,128,0,ws_syn_titan_128_32_4096_60_3.0,38.5945999622,3.99699997902,1.09990000725,0.73340010643,6.08369994164,992.282700062,941.774100065,1.68979763985,2.83669996262,842.969700098,1.46969866753,17.1243000031,2.86190032959,925.295499802,101.965999842
ws_syn_titan_128_32_4096_60_3.1,17.2437999249,519.705699921,936.765600204,69.6867001057,0.00439977645874,0.00240015983582,1509225575.06,920.26880002,1.97670006752,3.14030003548,1.77959942818,0.0183999538422,0.153899908066,exp1,4144,4144,1,1,1,128,128,0,ws_syn_titan_128_32_4096_60_3.1,29.5011000633,3.89599990845,0.248800039291,0.553600072861,7.16599988937,982.715300083,941.34980011,1.78210091591,3.17959976196,852.896800041,1.52749943733,17.9965999126,3.57920002937,920.281699896,103.422099829
ws_syn_titan_2048_32_65536_60_7.1,18.6194000244,17802.6274002,1472.64569998,68.4859998226,0.00340008735657,0.00309991836548,1509212675.88,1454.25959992,240.267400026,370.839899063,221.431099176,0.298099994659,2.45219993591,exp1,65584,65584,1,1,1,2048,2048,0,ws_syn_titan_2048_32_65536_60_7.1,36.734400034,112.09800005,5.31060004234,1.57620000839,6.20889997482,1634.91560006,1472.98749995,334.957901239,375.931599855,1241.9461,226.749897957,396.357700109,355.610999346,1454.33879995,644.846699953
ws_syn_titan_2048_32_65536_60_7.0,45.843100071,50731.2137001,1423.32400012,194.685600042,0.0025999546051,0.00279998779297,1509177879.56,1402.77529979,244.782900095,367.383900642,228.591102839,0.290099859238,2.49940013885,exp1,65584,65584,1,1,1,2048,2048,0,ws_syn_titan_2048_32_65536_60_7.0,35.4310998917,111.773999929,5.32070016861,1.56410002708,5.91470003128,1588.01690006,1428.01230001,333.648799896,372.233300447,1238.1256001,231.54579258,391.860100031,359.872101307,1402.84840012,582.93930006
ws_syn_titan_64_32_2048_60_2.0,45.4915001392,1843.47510004,957.020099878,196.896399975,0.00279998779297,0.00329995155334,1509177298.52,940.123999834,0.860800027847,1.17009997368,0.74299955368,0.00970005989075,0.0766999721527,exp1,2096,2096,1,1,1,64,64,0,ws_syn_titan_64_32_2048_60_2.0,38.0587000847,3.27999997139,0.236799955368,0.636100053787,5.9467997551,1009.52149987,961.363100052,0.63539981842,1.18020009995,840.411299944,0.608299732208,9.38080000877,1.19680023193,940.13560009,124.547699928
ws_syn_titan_64_32_2048_60_2.1,17.576100111,64.1345999241,960.119400024,55.3267002106,0.00319981575012,0.00279998779297,1509224477.22,940.129099846,0.797999858856,1.14870023727,0.700999736786,0.00969982147217,0.0763001441956,exp1,2096,2096,1,1,1,64,64,0,ws_syn_titan_64_32_2048_60_2.1,32.6127998829,3.57800006866,0.574800014496,0.569000005722,5.11870002747,1003.77929997,961.325999975,0.585100412369,1.16210007668,840.637500048,0.662500858307,10.978399992,1.19889998436,940.139899969,110.191400051
ws_syn_titan_32_32_1024_60_1.1,16.9552998543,55.1204998493,920.077500105,55.1424000263,0.00349998474121,0.00330018997192,1509194035.6,900.180799961,0.324500083923,0.567600250244,0.283299922943,0.00570011138916,0.0383999347687,exp1,1072,1072,1,1,1,32,32,0,ws_syn_titan_32_32_1024_60_1.1,29.7941999435,2.99699997902,0.203700065613,0.611399888992,4.40620017052,959.282999992,921.270499945,0.311700105667,0.577299833298,839.704699993,0.305199623108,5.67149996758,0.586400032043,900.190799952,68.9899001122
ws_syn_titan_32_32_1024_60_1.0,47.5363001823,697.202900171,926.95359993,194.01639986,0.00310015678406,0.00319981575012,1509177271.24,905.040199995,0.340800046921,0.55849981308,0.296599388123,0.00589990615845,0.0386002063751,exp1,1072,1072,1,1,1,32,32,0,ws_syn_titan_32_32_1024_60_1.0,36.1672999859,3.52999997139,1.07719993591,0.58510017395,7.64580011368,980.312700033,931.307299852,0.294500112534,0.567700147629,838.354799986,0.304600477219,6.42930006981,0.595999956131,905.049700022,104.253900051
ws_syn_titan_512_32_16384_60_5.1,17.6038000584,544.558900118,1052.76020002,70.0909998417,0.00290012359619,0.00289988517761,1510024058.88,1036.84100008,9.35969996452,63.6947000027,8.86260247231,0.070699930191,0.68129992485,exp1,16432,16432,1,1,1,512,512,0,ws_syn_titan_512_32_16384_60_5.1,33.1677999496,16.2269999981,2.9998998642,0.840700149536,3.02930021286,1112.90540004,1056.64069986,56.951996088,63.6950001717,1121.17129993,40.2493989468,84.4855999947,57.5423007011,1036.84679985,403.994400024
ws_syn_titan_512_32_16384_60_5.0,42.8634998798,275471.7566,1021.18470001,243.686500072,0.00239992141724,0.00300002098083,1509747222.54,1001.73090005,10.0010001659,56.2895002365,8.43420147896,0.0722000598907,0.681699991226,exp1,16432,16432,1,1,1,512,512,0,ws_syn_titan_512_32_16384_60_5.0,42.1159000397,16.4750001431,1.63009977341,0.825899839401,6.17230010033,1088.83649993,1021.61730003,48.4485003948,56.2899000645,908.882800102,34.0277020931,78.2829999924,49.9303004742,1001.73639989,163.213000059
ws_syn_titan_256_32_8192_60_4.0,43.8963999748,15509.6249998,1007.80540013,196.495800018,0.0032000541687,0.00410008430481,1509177352.88,990.797100067,5.37829995155,12.8014006615,4.96369814873,0.0350999832153,0.313899993896,exp1,8240,8240,1,1,1,256,256,0,ws_syn_titan_256_32_8192_60_4.0,32.5028998852,7.82800006866,0.274499893188,0.611399888992,5.73830008507,1058.42989993,1011.47480011,10.6604981422,12.8980998993,862.358400106,8.18519830704,36.5038998127,12.7273988724,990.814399958,165.909399986
ws_syn_titan_1024_32_32768_60_6.1,17.0654001236,82112.7809,1182.18289995,70.1993999481,0.00309991836548,0.00250005722046,1509230000.99,1164.29220009,61.2552001476,153.265399933,56.7520003319,0.143399953842,1.24440002441,exp1,32816,32816,1,1,1,1024,1024,0,ws_syn_titan_1024_32_32768_60_6.1,33.5773000717,55.6449999809,1.38520002365,0.983399868011,6.16919994354,1284.6710999,1186.91100001,139.115398884,154.465600491,1011.42649984,92.6102015972,180.184400082,139.014199734,1164.34049988,370.113199949
ws_syn_titan_4096_32_131072_60_8.0,47.8468999863,736775.6004,2166.88670015,241.420599937,0.00310015678406,0.0042998790741,1509748606.63,2143.19689989,737.186500072,907.906399965,665.269003153,0.596800088882,5.52380013466,exp1,131120,131120,1,1,1,4096,4096,0,ws_syn_titan_4096_32_131072_60_8.0,50.6388001442,225.013999939,23.4603998661,2.6781001091,8.71600008011,2479.60610008,2169.09879994,794.613900423,907.964600325,1886.25479984,438.075498819,1054.90890002,860.230303049,2143.21869993,1308.66699982
ws_syn_titan_1024_32_32768_60_6.0,41.7070999146,278939.5888,1166.47930002,242.363500118,0.0962998867035,0.0032000541687,1509747385.32,1149.80250001,37.5390999317,153.123199701,34.4022033215,0.145099878311,1.26859998703,exp1,32816,32816,1,1,1,1024,1024,0,ws_syn_titan_1024_32_32768_60_6.0,35.0060999393,32.2670001984,1.34009981155,1.04399991035,7.75450015068,1244.43249989,1167.02079988,136.500699759,153.124100447,1153.02080011,91.4600987434,169.978500128,136.591999054,1149.80780005,451.467600107
ws_syn_titan_256_32_8192_60_4.1,16.735699892,15813.8363001,984.798799992,69.3615999222,0.00300002098083,0.0032000541687,1509195175.82,966.502900124,5.36569976807,15.8934996128,4.9464006424,0.0369000434875,0.317500114441,exp1,8240,8240,1,1,1,256,256,0,ws_syn_titan_256_32_8192_60_4.1,54.7143998146,8.24900007248,1.13940000534,0.601199865341,7.67740011215,1058.82029986,986.438899994,12.7526996136,15.9752993584,863.966500044,8.93220043182,41.671200037,15.5950000286,966.539299965,139.611400127
